OrderID,ProductCategory,QuantityReturned,PurchaseAmount,ReasonForReturn,CustomerAccountAge,PreviousReturns,PreviousFraudReports,DeliveryType,ReturnCondition,RefundIssued,fraud
1,Electronics,7,353.2385419181974,No longer needed,883,11,2,Express,Opened,483.99098606063615,0
2,Clothing,4,419.31839003406105,No longer needed,277,10,0,Standard,Unopened,403.33027966724273,1
3,Home & Garden,8,222.25140211789125,Defective,881,5,2,Express,Defective,452.8745693273709,0
4,Clothing,4,448.3676183970388,No longer needed,417,2,0,Standard,Defective,210.43795184875808,1
5,Clothing,7,76.63385999570971,Not as described,250,3,0,Standard,Unopened,460.6370039320224,0
6,Beauty & Health,4,360.1686650288458,Wrong item,710,4,1,Express,Defective,205.46975779989464,1
7,Home & Garden,5,187.135511462557,Did not like,640,11,1,Standard,Defective,421.61716511439596,1
8,Home & Garden,7,68.64103238364655,Did not like,249,12,1,Express,Complete,482.86235580536777,1
9,Home & Garden,3,205.59898726496183,Not as described,1331,3,2,Express,Unopened,480.81865981697985,0
10,Clothing,5,442.50349975307256,Wrong item,1472,3,1,Express,Unopened,349.40503343681485,1
11,Electronics,3,490.6562582185472,No longer needed,361,9,2,Express,Damaged,277.46197597357195,0
12,Home & Garden,5,208.54393140823166,Not as described,512,12,1,Standard,Complete,183.95471765565273,0
13,Clothing,3,445.4798661470601,No longer needed,1212,0,0,Standard,Defective,68.4224046846677,0
14,Beauty & Health,7,264.6341197961016,Defective,1381,1,1,Express,Damaged,76.89228615669953,0
15,Electronics,1,364.1672180786919,Wrong item,591,1,0,Express,Complete,280.18360289454824,1
16,Beauty & Health,9,41.77828269143512,Did not like,1219,1,2,Standard,Defective,102.2151292017078,1
17,Electronics,9,287.5097465523312,Not as described,1100,9,1,Standard,Complete,111.57989343131322,1
18,Clothing,5,53.677729381275405,Did not like,136,0,1,Express,Opened,157.08573173806138,0
19,Books,9,148.93661940502366,No longer needed,580,9,0,Express,Defective,314.71909762413225,1
20,Electronics,6,292.07087641696575,No longer needed,279,13,1,Express,Complete,375.46284448753715,0
21,Beauty & Health,5,407.43860788240664,Defective,1448,7,2,Express,Complete,431.84655659603834,1
22,Clothing,3,289.2289490258771,No longer needed,681,0,0,Standard,Damaged,317.421004317994,0
23,Electronics,8,469.3719397353008,No longer needed,1078,13,2,Express,Complete,415.6051379776492,0
24,Books,4,408.959603636401,Did not like,1394,7,2,Standard,Opened,524.1594949517435,1
25,Books,3,94.99527013044926,Did not like,453,0,0,Express,Opened,255.78966290753343,0
26,Home & Garden,6,206.7000731014099,Not as described,1066,13,2,Express,Complete,428.53141499039236,1
27,Home & Garden,8,340.87300510725385,Not as described,463,9,1,Standard,Defective,412.1781926713284,1
28,Beauty & Health,9,470.4348951724593,No longer needed,168,2,2,Standard,Damaged,400.0726123145847,1
29,Electronics,6,494.10361699744203,Wrong item,407,8,1,Standard,Defective,370.92277767698204,0
30,Electronics,5,386.32949022214746,Not as described,522,7,0,Standard,Complete,449.38679911465726,1
31,Home & Garden,2,295.4092666780947,No longer needed,613,1,1,Express,Opened,500.19881753282993,1
32,Electronics,2,383.1726510742361,Did not like,318,14,2,Express,Unopened,265.67121334118724,0
33,Electronics,9,151.1534813426949,Defective,1168,14,1,Express,Damaged,410.11975821569973,1
34,Books,2,156.1294530846237,Did not like,1356,3,2,Express,Defective,186.68099908278433,0
35,Home & Garden,2,334.08768615791513,Did not like,466,7,1,Standard,Opened,465.80343013054363,0
36,Clothing,3,438.481076671957,Defective,221,11,0,Express,Defective,534.2163246936494,0
37,Home & Garden,3,485.50855480464975,Did not like,594,12,0,Standard,Complete,468.8099314610051,0
38,Clothing,4,183.84060839898476,Not as described,676,14,1,Express,Defective,320.0999056018099,0
39,Books,7,402.3457390886337,Did not like,983,8,0,Express,Damaged,123.39066238628081,0
40,Beauty & Health,9,428.73478653799697,Defective,1272,6,1,Standard,Unopened,530.20669637221,1
41,Electronics,2,319.12315665506856,No longer needed,994,0,2,Express,Unopened,498.04189243180815,1
42,Books,4,186.8441034702862,No longer needed,678,7,1,Express,Complete,433.902095759597,0
43,Electronics,9,317.1625113314245,No longer needed,449,13,2,Standard,Damaged,518.3166813223124,0
44,Beauty & Health,2,300.5354740695261,Defective,214,11,1,Standard,Unopened,343.1647390407067,0
45,Beauty & Health,1,311.13224278231564,Defective,727,0,2,Standard,Opened,594.9303028032896,0
46,Books,8,317.24490261810627,Not as described,336,14,0,Express,Defective,510.38999949543415,1
47,Beauty & Health,9,426.58793161841356,Defective,146,8,1,Standard,Complete,139.97795160907543,1
48,Clothing,7,101.63912636831856,No longer needed,373,7,0,Standard,Opened,271.1845898684598,1
49,Beauty & Health,8,196.3010948552807,Defective,212,3,0,Express,Complete,143.57426463544414,0
50,Electronics,4,301.2808291283415,Wrong item,644,9,2,Standard,Damaged,173.34339973523944,1
51,Electronics,4,155.99731453358066,Did not like,498,13,0,Express,Complete,325.5348583997741,1
52,Electronics,2,489.51349860033883,Not as described,891,11,2,Standard,Unopened,248.7696214865027,1
53,Electronics,8,146.312124609118,No longer needed,1415,10,0,Express,Damaged,550.3572632092594,1
54,Clothing,2,245.42186270833528,No longer needed,415,14,0,Standard,Complete,50.06387688131617,1
55,Home & Garden,9,441.1352219422728,Wrong item,1285,14,1,Standard,Opened,55.695436844184876,0
56,Books,4,58.430558076908596,Not as described,1213,3,1,Standard,Damaged,556.2017643344514,1
57,Electronics,1,413.9302410052409,Did not like,150,13,2,Standard,Damaged,181.46003307050955,1
58,Beauty & Health,4,294.0840171078416,Not as described,243,3,0,Express,Complete,51.35940568657278,0
59,Electronics,3,35.2649795934418,Not as described,627,5,0,Standard,Complete,290.6889321360603,0
60,Beauty & Health,6,453.3981881440492,No longer needed,1256,14,1,Express,Damaged,157.60669907935443,1
61,Beauty & Health,7,38.81448101875666,Defective,489,1,2,Express,Defective,79.33144431825056,0
62,Electronics,8,267.3045422102206,Did not like,1293,3,1,Express,Defective,341.7584334682292,1
63,Clothing,2,43.53499825552694,Not as described,1283,3,0,Standard,Unopened,127.09789753569926,1
64,Beauty & Health,6,54.17604726775912,Wrong item,918,7,2,Standard,Damaged,510.283196826226,1
65,Beauty & Health,6,445.85807084378814,No longer needed,848,1,0,Standard,Defective,216.18935647274628,0
66,Electronics,5,387.5962625419729,Defective,511,14,1,Standard,Opened,171.91152236198292,0
67,Beauty & Health,7,114.5317631575479,Defective,483,7,2,Express,Damaged,456.8662887958217,0
68,Beauty & Health,3,317.82462714284185,No longer needed,974,11,1,Express,Defective,516.75659123377,0
69,Electronics,4,401.4461928469835,Not as described,996,9,0,Express,Complete,101.20532016441521,1
70,Electronics,9,447.00350785609504,No longer needed,807,10,0,Standard,Opened,133.36453933911048,0
71,Books,4,244.78732488279024,Defective,1308,1,1,Express,Unopened,311.00256887791784,0
72,Clothing,3,450.799941152578,Defective,313,8,0,Express,Defective,374.621443170556,1
73,Clothing,2,263.76803490442956,Wrong item,1217,8,1,Express,Complete,95.79524666601523,1
74,Beauty & Health,5,350.3494602452917,Wrong item,669,5,1,Express,Opened,256.25625191389315,1
75,Clothing,4,489.9340925240668,Defective,318,9,2,Express,Opened,543.6810247648373,0
